51.49,-0.417431,487672f4
51.51,0.204992,47d8b00c
51.445,-0.283976,48760c1c
51.485,0.037542,47d8a85c
51.497,-0.225522,48760fcc
51.541,-0.26861,48761194
51.3583,-0.261187,487609ec
51.3671,-0.449587,487675ec
51.3787,-0.356223,48760adc
51.3816,-0.488522,48767664
51.3825,-0.326993,48760a54
51.3935,-0.272211,4876097c
51.4065,0.136168,47d8ac4c
51.4078,-0.391641,487674c4
51.4094,-0.121554,487606ec
51.4259,-0.0270840000000001,4876018c
51.4338,0.020285,47d8a9f4
51.4446,0.018239,47d8a9ec
51.4543,0.139879,47d8aef4
51.4635,-0.24367,48760efc
51.4711,0.055311,47d8a904
51.4751,-0.131204,487604fc
51.4772,-0.491846,4876719c
51.4799,-0.20917,48760f9c
51.4855,-0.395484,487672c4
51.4918,0.141957,47d8afa4
51.4935,-0.283529,48760ddc
51.4937,-0.461695,4876721c
51.4953,-0.142277,48760524
51.4991,0.110884,47d8af44
51.5034,0.00196799999999997,47d8a81c
51.5042,-0.127859,487604c4
51.5064,-0.158998,48760534
51.5224,0.203322,47d8baa4
51.5248,-0.459622,48766dec
51.5249,-0.269793,487611e4
51.5361,0.118532,47d8a5bc
51.5398,-0.224254,4876104c
51.5461,-0.309677,48761244
51.5475,-0.428982,48766dac
51.5486,-0.385145,48766d2c
51.5529,-0.328578,48761254
51.5611,-0.414893,48766cfc
51.5683,-0.245863,4876111c
51.5751,-0.40502,48766cec
51.5783,-0.452125,48766c14
51.5821,-0.47246,48766c1c
51.5858,-0.063879,48761c3c
51.5868,-0.156268,48761a3c
51.5884,-0.233698,487610dc
51.5899,-0.272443,48761154
51.5922,0.135977,47d8a47c
51.6029,0.0839519999999999,47d8a154
51.35451,-0.472374,48767604
51.35542,-0.263836,487609e4
51.35612,-0.245852,487609dc
51.35669,-0.271628,487609fc
51.35719,-0.0247330000000001,48760074
51.35725,0.0947249999999999,47d8acac
51.35808,-0.151426,4876079c
51.36003,-0.434238,48767594
51.36007,-0.066889,48760094
51.36068,-0.075703,487600bc
51.36103,0.065587,47d8ab3c
51.36148,-0.049998,4876008c
51.36154,-0.070733,487600bc
51.36156,0.144195,47d8ad24
51.36178,0.097444,47d8aca4
51.36195,-0.443015,48767594
51.36367,-0.321084,48760a64
51.36446,-0.239287,487609cc
51.36484,0.0306329999999999,47d8aac4
51.36548,-0.292379,48760a1c
51.36557,-0.384584,4876754c
51.36581,-0.305074,48760a6c
51.36643,-0.309913,48760a6c
51.36659,0.177369,47d8ad5c
51.36737,-0.39142,4876753c
51.36764,-0.468281,487675dc
51.36798,-0.321325,48760a5c
51.36811,-0.043571,4876005c
51.37188,0.0134379999999999,47d8aa94
51.37423,0.0821919999999999,47d8ab64
51.37447,-0.335915,48760af4
51.37648,-0.253451,487609bc
51.37693,-0.143333,487607a4
51.37793,-0.184441,487607dc
51.37825,-0.455644,487675cc
51.37828,-0.0605020000000001,487600ec
51.37913,-0.170844,487607cc
51.37915,-0.479772,4876767c
51.38034,-0.243505,487609ac
51.38038,0.154196,47d8ad0c
51.38041,-0.389921,48767524
51.38113,-0.317697,48760a54
51.38128,-0.223995,48760854
51.38272,-0.488737,48767664
51.38285,-0.036622,48760054
51.38291,0.059823,47d8ab0c
